,SCHOOL,SCHOOL LEVEL*, PEER INDEX* ,GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,PERFORMANCE CATEGORY SCORE,PROGRESS CATEGORY SCORE,ADDITIONAL CREDIT,QUALITY REVIEW SCORE,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch
747,PS 088 SENECA,Elementary School, 48.22 ,B,54.75,0.508,0.485,0.524,3.75,Proficient,557,12.6,93.5
748,PS 089 ELMHURST,Elementary School, 67.83 ,A,67.23,0.631,0.554,0.666,4.5,Well-Developed,"1,156",17.0,47.5
749,PS 091 RICHARD ARKWRIGHT,Elementary School, 41.91 ,C,46,0.387,0.496,0.46,0,Proficient,"1,029",14.9,76.4
750,PS 102 BAYVIEW,Elementary School, 42.92 ,B,62.94,0.512,0.616,0.627,2.25,Proficient,650,13.5,70.8
751,PS 128 JUNIPER VALLEY,Elementary School, 14.67 ,C,45.45,0.84,0.762,0.182,0,Well-Developed,757,12.0,86.7
752,PS 143 LOUIS ARMSTRONG,Elementary School, 79.14 ,A,64.89,0.586,0.754,0.541,3.75,Proficient,688,13.8,83.1
753,PS 153 MASPETH ELEM,Elementary School, 39.49 ,A,67.77,0.474,0.515,0.726,5.25,Well-Developed,940,13.6,75.3
754,PS 199 MAURICE A FITZGERALD,Elementary School, 58.20 ,A,74.64,0.653,0.68,0.781,1.5,Well-Developed,"1,960",14.9,76.8
755,PS 229 EMANUEL KAPLAN,Elementary School, 40.16 ,B,53.82,0.558,0.634,0.467,0.75,Well-Developed,751,14.9,71.8
756,PS 58 - SCHOOL OF HEROES,Elementary School, 35.09 ,C,42.98,0.446,0.572,0.334,0.75,Well-Developed,608,13.8,64
757,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,High School, 2.65 ,C,43.2,0.322,0.327,0.382,7.5,Proficient,"1,544",15.5,85.6
758,"ROBERT F.WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND",High School, 2.77 ,B,50.33,0.572,0.53,0.443,1.5,Proficient,666,17.5,77.6
759,FLUSHING HIGH SCHOOL,High School, 2.52 ,C,45.41,0.362,0.474,0.469,0,Proficient,"1,678",15.2,74.4
760,I S 025 ADRIEN BLOCK,Middle School, 3.52 ,C,43.33,0.401,0.622,0.326,0.75,Well-Developed,"1,363",16.6,84.5
761,I S 250 THE ROBERT F. KENNEDY COMMUNITY MIDDLE SCH,Middle School, 3.54 ,A,66.49,0.498,0.696,0.693,0,Proficient,"1,027",18.5,58.3
762,IS 237,Middle School, 3.36 ,B,59.42,0.458,0.641,0.537,3.75,Proficient,402,12.1,83.3
763,JHS 185 EDWARD BLEEKER,Middle School, 3.36 ,B,60.62,0.273,0.693,0.514,7.5,Well-Developed,"3,608",18.6,75.6
764,JHS 189 DANIEL CARTER BEARD,Middle School, 3.34 ,B,61.43,0.532,0.611,0.57,3.75,Proficient,"1,523",16.2,77
765,JHS 194 WILLIAM CARR,Middle School, 3.52 ,A,69.92,0.506,0.767,0.633,4.5,Well-Developed,774,15.4,77.5
766,JOHN BOWNE HIGH SCHOOL,High School, 2.57 ,C,38.81,0.258,0.33,0.455,0,Proficient,"1,247",16.4,59.7
767,PS 020 JOHN BOWNE,Elementary School, 47.86 ,A,67.76,0.561,0.748,0.616,3,Well-Developed,972,14.2,76.5
768,PS 021 EDWARD HART,Elementary School, 44.81 ,A,85.91,0.566,0.763,0.855,7.5,Well-Developed,"1,033",16.1,74.8
769,PS 022 THOMAS JEFFERSON,Elementary School, 44.25 ,A,77.63,0.36,0.783,0.846,2.25,Proficient,"1,094",14.7,77.8
770,PS 024 ANDREW JACKSON,Elementary School, 40.81 ,A,72.86,0.685,0.809,0.656,2.25,Well-Developed,674,14.0,82
771,PS 029 QUEENS,Elementary School, 47.89 ,B,57.1,0.559,0.69,0.496,0.75,Proficient,800,14.5,80.8
772,PS 032 STATE STREET,Elementary School, 32.21 ,A,75.55,0.526,0.702,0.752,5.25,Well-Developed,690,12.5,73.5
773,PS 079 FRANCIS LEWIS,Elementary School, 18.69 ,B,59.31,0.402,0.529,0.639,2.25,Well-Developed,764,8.5,72.9
774,PS 107 THOMAS A DOOLEY,Elementary School, 30.51 ,B,61.38,0.683,0.641,0.512,3.75,Well-Developed,444,13.0,33.6
775,PS 120 QUEENS,Elementary School, 40.02 ,A,68.62,0.473,0.663,0.689,3.75,Proficient,513,14.6,46.6
776,PS 129 PATRICIA LARKIN,Elementary School, 45.25 ,A,74.45,0.6,0.796,0.633,6.75,Well-Developed,590,15.5,37.5
777,PS 154 QUEENS,Elementary School, 42.63 ,B,55.63,0.57,0.692,0.451,1.5,Well-Developed,"1,311",15.4,93.4
778,PS 163 FLUSHING HEIGHTS,Elementary School, 36.22 ,A,65.3,0.503,0.779,0.584,2.25,Proficient,584,14.9,40.6
779,PS 164 QUEENS VALLEY,K-8 School, 45.76 ,B,50.69,0.372,0.609,0.447,2.25,Proficient,"1,422",16.1,78.2
780,PS 165 EDITH K. BERGTRAUM,Elementary School, 43.71 ,A,72.04,0.686,0.552,0.699,6.75,Well-Developed,537,14.1,79.1
781,PS 169 BAY TERRACE,Elementary School, 17.07 ,C,45.04,0.335,0.609,0.396,0,Proficient,640,9.4,74.1
782,PS 184 FLUSHING MANOR,Elementary School, 18.25 ,A,68.27,0.412,0.558,0.77,3,Well-Developed,920,13.7,91.1
783,PS 193 ALFRED J KENNEDY,Elementary School, 16.78 ,B,56.49,0.269,0.401,0.694,2.25,Proficient,999,15.6,70
784,PS 200 POMONOK,K-8 School, 51.45 ,B,62.28,0.469,0.533,0.591,6.75,Proficient,737,15.0,87.4
785,PS 209 CLEARVIEW GARDENS,Elementary School, 12.48 ,A,71.73,0.564,0.76,0.709,1.5,Well-Developed,983,15.8,67.8
786,PS 214 CADWALLADER COLDEN,Elementary School, 47.78 ,A,86.33,0.571,0.79,0.874,6,Well-Developed,"1,133",18.8,53.1
787,PS 219 PAUL KLAPPER,K-8 School, 51.29 ,B,59.06,0.54,0.567,0.563,3,Well-Developed,520,12.6,72.1
788,QUEENS ACADEMY HIGH SCHOOL,Transfer School, NA ,C,37.97,0.259,0.531,0.303,1.5,Proficient,302,15.8,66.2
789,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,High School, 2.89 ,B,62.12,0.683,0.748,0.535,0,Well-Developed,496,17.7,49.6
790,"THE QUEENS COLLEGE SCHOOL FOR MATH, SCIENCE, AND T",K-8 School, 38.78 ,A,80.94,0.647,0.829,0.802,2.25,Well-Developed,580,12.3,60.2
791,THE QUEENS SCHOOL OF INQUIRY,Middle School, 3.60 ,B,59.89,0.924,0.691,0.46,0,Proficient,759,19.4,80.5
792,TOWNSEND HARRIS HIGH SCHOOL,High School, 3.98 ,A,82.88,0.731,1.01,0.684,4,Well-Developed,"1,144",20.4,55.2
793,BAYSIDE HIGH SCHOOL,High School, 3.15 ,B,52.9,0.248,0.452,0.619,1.5,Proficient,"3,038",18.8,74
794,BENJAMIN N. CARDOZO HIGH SCHOOL,High School, 3.21 ,B,59.6,0.277,0.618,0.589,4.5,Well-Developed,"3,712",22.5,66.9
795,FRANCIS LEWIS HIGH SCHOOL,High School, 3.05 ,B,57.47,0.383,0.611,0.553,3,Well-Developed,"4,541",19.5,73.1
796,IRWIN ALTMAN MIDDLE SCHOOL 172,Middle School, 3.64 ,A,65.24,0.444,0.676,0.601,5.25,Proficient,983,16.6,62.3
797,JHS 067 LOUIS PASTEUR,Middle School, 3.86 ,A,66.64,0.434,0.847,0.59,2.25,Proficient,"1,458",18.4,68.3
798,JHS 074 NATHANIEL HAWTHORNE,Middle School, 3.81 ,A,68.67,0.626,0.779,0.625,1.5,Well-Developed,894,17.5,40.6
799,JHS 216 GEORGE J RYAN,Middle School, 3.61 ,B,57.74,0.468,0.651,0.499,3.75,Proficient,"1,157",17.5,48.5
800,MARTIN VAN BUREN HIGH SCHOOL,High School, 2.67 ,B,55.42,0.206,0.6,0.624,0,Proficient,"1,175",15.7,77.2
801,MS 158 MARIE CURIE,Middle School, 3.63 ,A,68.64,0.584,0.68,0.595,6.75,Well-Developed,"1,058",17.9,56.5
802,P.S./I.S. 266,K-8 School, 18.15 ,A,79.65,0.682,0.803,0.716,6,Well-Developed,555,13.8,61.1
803,PS 018 WINCHESTER,Elementary School, 22.82 ,B,57.35,0.44,0.674,0.555,0,Proficient,680,14.7,51.2
804,PS 026 RUFUS KING,Elementary School, 24.75 ,A,71.97,0.367,0.713,0.792,1.5,Well-Developed,676,16.4,63.8
805,PS 031 BAYSIDE,Elementary School, 30.62 ,A,68.61,0.327,0.666,0.713,4.5,Well-Developed,949,16.3,58
806,PS 041 CROCHERON,Elementary School, 18.02 ,B,53.29,0.758,0.724,0.367,0,Well-Developed,620,14.7,58.9
807,PS 046 ALLEY POND,Elementary School, 23.45 ,A,68.57,0.737,0.738,0.602,2.25,Well-Developed,384,5.9,34.6
808,PS 094 DAVID D PORTER,Elementary School, 13.79 ,A,71.01,0.803,0.82,0.625,0,Well-Developed,731,17.4,25.9
809,PS 098 THE DOUGLASTON SCHOOL,Elementary School, 9.52 ,B,57.85,0.747,0.909,0.352,0,Well-Developed,399,15.9,62.7
810,PS 133 QUEENS,Elementary School, 27.11 ,A,66.42,0.487,0.554,0.732,2.25,Well-Developed,936,16.1,44.9
811,PS 159,Elementary School, 19.53 ,C,46.21,0.573,0.695,0.278,1.5,Well-Developed,327,14.8,27.8
812,PS 162 JOHN GOLDEN,Elementary School, 18.59 ,A,73.56,0.663,0.826,0.679,1.5,Well-Developed,466,16.0,55.2
813,PS 173 FRESH MEADOWS,Elementary School, 20.30 ,C,46.91,0.579,0.738,0.292,0,Well-Developed,626,16.0,39.9
814,PS 178 HOLLISWOOD,K-8 School, 22.25 ,A,81.22,0.736,0.725,0.799,4.5,Proficient,705,15.3,68.4
815,PS 186 CASTLEWOOD,Elementary School, 23.31 ,C,44.99,0.689,0.716,0.24,0,Proficient,549,14.0,56.5
816,PS 188 KINGSBURY,Elementary School, 11.17 ,B,55.73,0.866,0.883,0.296,0,Proficient,98,9.8,52
817,PS 191 MAYFLOWER,Elementary School, 22.80 ,A,65.33,0.882,0.824,0.498,0,Well-Developed,488,13.9,39.3
818,PS 203 OAKLAND GARDENS,Elementary School, 13.28 ,B,61.63,0.693,0.901,0.44,0,Well-Developed,555,9.5,51.2
819,PS 205 ALEXANDER GRAHAM BELL,Elementary School, 17.07 ,A,67.91,0.943,0.939,0.465,0,Well-Developed,326,13.0,49.7
820,PS 213 The Carl Ullman School,Elementary School, 21.52 ,A,75.5,0.746,0.794,0.736,0,Well-Developed,289,13.1,22.1
821,PS 221 NORTH HILLS,Elementary School, 13.22 ,A,69.09,0.701,0.854,0.599,0,Well-Developed,563,16.0,37.1
822,PS 376,Elementary School, 75.61 ,A,68.62,0.772,0.669,0.618,3,Proficient,644,13.1,53.9
823,QUEENS HIGH SCHOOL OF TEACHING,High School, 3.00 ,B,59.22,0.548,0.674,0.341,12,Well-Developed,"1,067",17.7,54.7
824,AUGUST MARTIN HIGH SCHOOL,High School, 2.47 ,D,31.29,0.319,0.294,0.295,1.5,Well-Developed,328,13.1,86.3
825,CHANNEL VIEW SCHOOL FOR RESEARCH,Middle School, 3.40 ,C,49.95,0.661,0.688,0.298,3,Proficient,886,14.0,73
826,I S 053 BRIAN PICCOLO,Middle School, 2.85 ,C,40.69,0.315,0.562,0.306,2.25,Proficient,"2,270",14.0,79.9
827,JHS 202 ROBERT H GODDARD,Middle School, 3.29 ,B,52.7,0.468,0.699,0.408,2.25,Proficient,"1,099",17.0,80.6
828,JHS 210 ELIZABETH BLACKWELL,Middle School, 3.29 ,C,48.1,0.281,0.617,0.434,1.5,Proficient,"1,881",15.9,85
829,JHS 226 VIRGIL I GRISSOM,Middle School, 3.13 ,D,38.78,0.194,0.59,0.316,0.75,Proficient,911,18.2,90.7
830,JOHN ADAMS HIGH SCHOOL,High School, 2.52 ,C,35.94,0.222,0.386,0.382,0,Well-Developed,"1,888",16.1,88.3
831,MS 137 AMERICA'S SCHL OF HEROES,Middle School, 3.33 ,B,60.97,0.478,0.65,0.501,6.75,Well-Developed,271,11.2,80.4
832,PS 042 R VERNAM,K-8 School, 74.29 ,B,52.36,0.197,0.449,0.626,1.5,Proficient,954,15.3,62.4
833,PS 043,K-8 School, 71.39 ,C,49.76,0.399,0.649,0.374,3.75,Well-Developed,685,13.1,80.1
834,PS 045 CLARENCE WITHERSPOON,Elementary School, 66.35 ,B,55.75,0.369,0.445,0.575,5.25,Proficient,803,13.8,87.9
835,PS 047 CHRIS GALAS,K-8 School, 27.43 ,A,77.49,0.596,0.687,0.844,1.5,Proficient,"1,469",15.9,85
836,PS 056 HARRY EICHLER,Elementary School, 47.23 ,B,57.58,0.679,0.611,0.515,0.75,Well-Developed,683,14.2,85.5
837,PS 060 WOODHAVEN,Elementary School, 57.63 ,B,54.66,0.338,0.694,0.468,3,Well-Developed,"1,225",16.3,63
838,PS 062 CHESTER PARK,Elementary School, 42.16 ,A,71.92,0.631,0.67,0.62,8.25,Well-Developed,681,14.8,47
839,PS 063 OLD SOUTH,Elementary School, 50.51 ,B,52.18,0.686,0.595,0.382,3,Well-Developed,519,15.2,92.1
840,PS 064 JOSEPH P. ADDABBO,Elementary School, 53.21 ,C,40.74,0.613,0.682,0.201,0,Proficient,526,11.1,93.3
841,PS 066 JACQUELINE KENNEDY ONASSIS,Elementary School, 61.67 ,B,62.02,0.708,0.916,0.408,1.5,Well-Developed,495,10.9,96
842,PS 090 HORACE MANN,Elementary School, 55.79 ,C,47.63,0.534,0.739,0.304,0.75,Well-Developed,683,10.3,34.7
843,PS 096,Elementary School, 59.12 ,B,58.42,0.416,0.613,0.587,1.5,Proficient,559,13.9,93.4
844,PS 097 FOREST PARK,Elementary School, 66.83 ,B,54.1,0.493,0.82,0.402,0,Proficient,967,15.1,61.7
845,PS 100 GLEN MORRIS,Elementary School, 52.66 ,A,65.16,0.435,0.634,0.584,7.5,Proficient,568,13.8,96.8
846,PS 104 THE BAYS WATER,Elementary School, 71.13 ,C,43.13,0.497,0.404,0.387,2.25,Proficient,647,14.7,81.3
847,PS 105 THE BAY SCHOOL,K-8 School, 72.12 ,D,33.47,0.619,0.437,0.202,0,Well-Developed,894,14.4,91.1
848,PS 108 CAPT. VINCENT G. FOWLER,Elementary School, 40.59 ,A,66.26,0.573,0.639,0.591,6,Well-Developed,324,11.9,90.7
849,PS 123,Elementary School, 69.04 ,D,37.49,0.356,0.355,0.336,3,Undeveloped,218,9.0,35.3
850,PS 124 OSMOND A CHURCH,K-8 School, 52.49 ,C,48.89,0.701,0.83,0.204,2.25,Well-Developed,384,14.7,81.8
851,PS 146 HOWARD BEACH,Elementary School, 29.86 ,B,50.38,0.451,0.414,0.553,0.75,Well-Developed,"1,175",15.6,87.7
852,PS 155,Elementary School, 56.24 ,F,29.42,0.422,0.525,0.133,0,Proficient,942,15.6,70.6
853,PS 183 DR. RICHARD R. GREEN,K-8 School, 69.56 ,C,39.47,0.388,0.42,0.342,2.25,Well-Developed,"1,223",15.1,86.4
854,PS 197 THE OCEAN SCHOOL,Elementary School, 77.33 ,B,56.15,0.446,0.385,0.553,7.5,Proficient,616,15.0,75
855,PS 207 ROCKWOOD PARK,K-8 School, 21.64 ,B,57.06,0.506,0.664,0.482,3,Proficient,496,12.3,87.1
856,PS 223 LYNDON B JOHNSON,Elementary School, 66.70 ,C,48.21,0.529,0.519,0.422,1.5,Proficient,852,15.4,90.6
857,PS 232 LINDENWOOD,Elementary School, 39.38 ,B,53.32,0.56,0.636,0.456,0.75,Well-Developed,307,16.1,84.7
858,PS 253,Elementary School, 72.98 ,B,50.19,0.466,0.591,0.463,0,Proficient,721,14.4,87.7
859,PS 254,Elementary School, 59.24 ,C,46.82,0.726,0.864,0.182,0,Proficient,669,13.1,24.5
860,PS/MS 114 BELLE HARBOR,K-8 School, 11.64 ,B,57.7,0.448,0.759,0.486,1.5,Proficient,663,10.8,96.1
861,RICHMOND HILL HIGH SCHOOL,High School, 2.53 ,C,40.13,0.288,0.332,0.47,0,Proficient,"1,670",12.8,79.6
862,THE SCHOLARS' ACADEMY,Middle School, 3.98 ,B,59.92,0.851,0.934,0.347,0,Well-Developed,"1,375",18.8,47.9
863,FOREST HILLS HIGH SCHOOL,High School, 2.95 ,B,58.3,0.27,0.582,0.587,4.5,Proficient,378,11.1,81.7
864,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,High School, 2.80 ,C,37.06,0.508,0.409,0.312,0,Well-Developed,"3,784",18.9,73.4
865,HILLCREST HIGH SCHOOL,High School, 2.62 ,C,40.0,0.31,0.461,0.336,3,Proficient,503,14.7,73.4
866,JHS 008 RICHARD S GROSSLEY,Middle School, 3.02 ,D,32.39,0.203,0.412,0.282,1.5,Well-Developed,"3,352",20.0,82.3
867,JHS 072 CATH. & COUNT BASIE,Middle School, 3.20 ,B,55.26,0.19,0.508,0.608,3.75,Proficient,"1,632",17.0,54.4
868,JHS 157 STEPHEN A HALSEY,Middle School, 3.44 ,B,54.89,0.387,0.655,0.481,3,Well-Developed,"1,054",19.5,42.9
869,JHS 190 RUSSELL SAGE,Middle School, 3.51 ,C,49.51,0.386,0.635,0.408,2.25,Proficient,"1,628",18.0,70.3
870,JHS 217 ROBERT A VAN WYCK,Middle School, 3.28 ,B,58.45,0.449,0.619,0.467,7.5,Well-Developed,341,11.3,90
871,PS 040 SAMUEL HUNTINGTON,Elementary School, 75.32 ,B,63.17,0.355,0.33,0.79,4.5,Undeveloped,654,16.7,18.7
872,PS 048 WILLIAM WORDSWORTH,Elementary School, 67.54 ,C,43.3,0.297,0.54,0.398,0.75,Undeveloped,"1,015",15.1,58
873,PS 050 TALFOURD LAWN ELEMENTARY SCHOOL,Elementary School, 70.37 ,B,57.28,0.39,0.668,0.543,1.5,Proficient,935,15.5,82.2
874,PS 054 HILLSIDE,Elementary School, 54.51 ,C,47.72,0.329,0.398,0.561,0,Undeveloped,748,15.2,62.8
875,PS 055 MAURE,Elementary School, 45.99 ,A,79.94,0.551,0.356,0.945,9,Proficient,477,14.0,91.2
876,PS 080 THURGOOD MARSHALL MAGNET,Elementary School, 64.19 ,B,51.16,0.521,0.44,0.534,0.75,Well-Developed,893,16.8,21.7
877,PS 082 HAMMOND,Elementary School, 64.86 ,B,54.36,0.658,0.815,0.364,0,Well-Developed,654,13.3,85.5
878,PS 086 QUEENS,Elementary School, 58.21 ,A,68.9,0.366,0.52,0.678,10.5,Proficient,702,14.3,84.3
879,PS 099 KEW GARDENS,Elementary School, 45.79 ,B,53.72,0.487,0.596,0.492,1.5,Well-Developed,669,15.1,37.5
880,PS 101 SCHOOL IN THE GARDENS,Elementary School, 17.46 ,A,76.91,0.442,0.766,0.819,2.25,Proficient,809,18.8,60.3
881,PS 117 J.KELD/BRIARWOOD SCH,Elementary School, 48.84 ,A,75.36,0.486,0.734,0.66,9.75,Well-Developed,996,17.1,24.5
882,PS 121 QUEENS,Elementary School, 49.23 ,A,73.16,0.505,0.61,0.764,5.25,Well-Developed,612,14.5,78.1
883,PS 139 REGO PARK,Elementary School, 33.93 ,A,64.59,0.561,0.646,0.587,4.5,Well-Developed,709,15.0,74.5
884,PS 140 EDWARD K ELLINGTON,Elementary School, 66.78 ,B,62.43,0.423,0.423,0.748,2.25,Proficient,465,12.2,93.1
885,PS 144 COL JEROMUS REMSEN,Elementary School, 21.76 ,C,39.1,0.434,0.524,0.307,0,Proficient,603,15.6,90.5
886,PS 160 WALTER FRANCIS BISHOP,Elementary School, 72.33 ,A,64.86,0.399,0.604,0.646,5.25,Proficient,802,15.1,94.9
887,PS 161 ARTHUR ASHE SCHOOL,Elementary School, 48.18 ,A,74.89,0.635,0.62,0.755,5.25,Well-Developed,565,14.1,79.5
888,PS 174 WILLIAM SIDNEY MOUNT,Elementary School, 28.57 ,C,41.88,0.371,0.417,0.433,0,Well-Developed,514,13.5,83.3
889,PS 175 THE LYNN GROSS DISCOVERY SCHOOL,Elementary School, 35.01 ,A,80.39,0.66,0.68,0.802,6,Well-Developed,519,13.2,76.3
890,PS 196 GRAND CENTRAL PKWY,Elementary School, 13.58 ,A,78.88,0.502,0.862,0.827,0,Well-Developed,651,13.5,79.9
891,PS 206 HORACE HARDING,Elementary School, 47.36 ,C,49.19,0.48,0.537,0.402,3.75,Well-Developed,950,14.6,78.1
892,PS 220 EDWARD MANDEL,Elementary School, 41.70 ,C,44.81,0.346,0.479,0.459,0,Well-Developed,794,14.7,66.5
893,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,High School, 3.48 ,B,66,0.492,0.807,0.626,0,Proficient,690,18.6,62.6
894,QUEENS HIGH SCHOOL FOR SCIENCES AT YORK COLLEGE,High School, 3.89 ,A,68.9,0.693,0.753,0.616,2,Proficient,474,19.1,63.3
895,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HI,High School, 3.15 ,B,56.52,0.315,0.606,0.529,4.5,Proficient,"2,138",19.4,80.9
896,YOUNG WOMEN'S LEADERSHIP SCHOOL QUEENS,Middle School, 3.36 ,A,68.01,0.822,0.713,0.582,2.25,Proficient,566,16.6,79
897,CYNTHIA JENKINS SCHOOL,Elementary School, 66.76 ,B,60.57,0.309,0.308,0.767,4.5,Proficient,989,16.2,57.4
898,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIEN,High School, 2.67 ,B,60.88,0.524,0.65,0.555,3,Proficient,451,11.5,78.5
899,HUMANITIES & ARTS MAGNET HIGH SCHOOL,High School, 2.51 ,B,58.7,0.596,0.66,0.545,0,Proficient,462,16.1,72.9
900,I S 059 SPRINGFIELD GARDENS,Middle School, 3.12 ,B,62.65,0.267,0.625,0.657,3.75,Proficient,456,19.8,84
901,I S 238 SUSAN B ANTHONY,Middle School, 3.21 ,B,57.59,0.568,0.552,0.563,1.5,Proficient,496,16.4,73.2
902,IS 192 THE LINDEN,Middle School, 2.99 ,B,59.31,0.431,0.578,0.55,5.25,Proficient,"1,392",15.1,90
903,JEAN NUZZI INTERMEDIATE SCHOOL,Middle School, 3.21 ,B,60.07,0.27,0.645,0.585,4.5,Proficient,590,15.9,75.4
904,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNE",High School, 2.69 ,C,39.09,0.197,0.656,0.299,0,Proficient,"1,110",16.3,66.5
905,P.S. 268,K-8 School, 57.52 ,B,54.05,0.494,0.565,0.512,1.5,Proficient,396,17.3,74.7
906,P.S./I.S. 208,K-8 School, 50.53 ,A,66.67,0.581,0.742,0.581,3.75,Well-Developed,582,15.3,74.7
907,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOA,Middle School, 3.34 ,B,56.19,0.578,0.603,0.508,1.5,Proficient,450,12.8,72.9
908,PS 015 JACKIE ROBINSON,Elementary School, 65.16 ,A,68.42,0.335,0.662,0.764,1.5,Proficient,812,17.6,91.3
909,PS 033 EDWARD M. FUNK,Elementary School, 47.80 ,B,57.68,0.672,0.503,0.55,2.25,Proficient,388,12.7,83
910,PS 034 JOHN HARVARD,Elementary School, 75.42 ,B,52.17,0.482,0.735,0.375,2.25,Well-Developed,380,12.2,84.2
911,PS 035 NATHANIEL WOODHULL,Elementary School, 55.71 ,C,40.09,0.309,0.381,0.396,2.25,Proficient,615,13.3,79.5
912,PS 036 ST ALBANS SCHOOL,Elementary School, 65.56 ,C,40.67,0.53,0.49,0.314,0.75,Proficient,436,16.1,73.4
913,PS 038 ROSEDALE,Elementary School, 68.25 ,B,61.72,0.531,0.593,0.599,3,Proficient,268,13.3,73.9
914,PS 052 QUEENS,Elementary School, 68.79 ,B,54.04,0.508,0.35,0.612,2.25,Proficient,714,16.9,76.3
915,PS 095 EASTWOOD,Elementary School, 57.72 ,B,60.15,0.454,0.57,0.55,6,Well-Developed,331,10.0,72.5
916,PS 116 WILLIAM C. HUGHLEY,K-8 School, 68.30 ,B,58.75,0.358,0.442,0.689,2.25,Proficient,560,14.3,85
917,PS 118 LORRAINE HANSBERRY,Elementary School, 74.09 ,B,61.76,0.506,0.786,0.501,3,Well-Developed,971,17.0,81.3
918,PS 131 ABIGAIL ADAMS,Elementary School, 46.28 ,A,68.03,0.592,0.858,0.594,0.75,Well-Developed,576,15.9,90.6
919,PS 132 RALPH BUNCHE,Elementary School, 63.39 ,A,66.39,0.767,0.651,0.588,3,Well-Developed,713,15.8,89.8
920,PS 134 HOLLIS,Elementary School, 66.03 ,A,71.26,0.395,0.572,0.821,3,Proficient,447,13.5,70.5
921,PS 136 ROY WILKINS,Elementary School, 65.98 ,D,32.41,0.152,0.152,0.437,1.5,Undeveloped,269,15.8,77.7
922,PS 138 SUNRISE,K-8 School, 66.93 ,B,51.02,0.267,0.474,0.555,2.25,Proficient,481,14.1,73
923,PS 147 RONALD MCNAIR,K-8 School, 63.07 ,A,65.55,0.434,0.471,0.748,3.75,Proficient,"1,494",16.2,74.4
924,PS 156 LAURELTON,K-8 School, 61.71 ,B,50.98,0.407,0.487,0.496,3,Undeveloped,787,13.7,77.8
925,PS 176 CAMBRIA HEIGHTS,Elementary School, 70.01 ,A,73.59,0.835,0.761,0.655,2.25,Well-Developed,706,14.1,46.9
926,PS 181 BROOKFIELD,Elementary School, 69.59 ,B,54.67,0.436,0.429,0.6,2.25,Proficient,635,14.1,78.3
927,PS 195 WILLIAM HABERLE,Elementary School, 63.94 ,B,55.18,0.486,0.44,0.576,3,Proficient,764,14.4,78.4
928,THE BELLAIRE SCHOOL,Elementary School, 57.44 ,B,57.68,0.54,0.648,0.466,4.5,Proficient,579,13.4,73.2
929,ACADEMY OF AMERICAN STUDIES,High School, 3.13 ,B,62.4,0.59,0.799,0.538,0,Well-Developed,"1,016",20.6,68.5
930,ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING AR,Middle School, 2.99 ,C,47.66,0.305,0.596,0.431,1.5,Proficient,659,14.9,86.8
931,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,Middle School, 3.79 ,C,48.83,0.7,0.735,0.296,0,Proficient,539,17.6,43.4
932,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,High School, 3.27 ,B,66.72,0.555,0.693,0.683,0,Well-Developed,834,16.6,40.6
933,I S 227 LOUIS ARMSTRONG,Middle School, 3.55 ,A,69.25,0.47,0.783,0.554,8.25,Well-Developed,999,16.9,84.5
934,INFORMATION TECHNOLOGY HIGH SCHOOL,High School, 2.74 ,B,56.43,0.296,0.628,0.576,1.5,Proficient,740,14.7,76.6
935,INTERMEDIATE SCHOOL 230,Middle School, 3.34 ,B,60.08,0.524,0.656,0.51,4.5,Proficient,"1,111",16.8,61
936,IS 010 HORACE GREELEY,Middle School, 3.22 ,A,71.53,0.634,0.56,0.713,6,Well-Developed,"1,696",15.1,94.6
937,IS 141 THE STEINWAY,Middle School, 3.39 ,A,68.9,0.559,0.641,0.6,8.25,Proficient,481,11.1,89.4
938,IS 145 JOSEPH PULITZER,Middle School, 3.17 ,B,58.65,0.519,0.534,0.524,6,Well-Developed,"1,583",16.6,73.7
939,IS 204 OLIVER W HOLMES,Middle School, 3.13 ,B,55.35,0.461,0.526,0.567,1.5,Proficient,"1,291",16.5,82
940,LONG ISLAND CITY HIGH SCHOOL,High School, 2.62 ,B,61.64,0.385,0.5,0.634,6,Proficient,"2,257",16.4,79.9
941,NEWCOMERS HIGH SCHOOL,High School, 2.32 ,A,67.86,0.691,0.721,0.652,0,Well-Developed,887,15.0,90.2
942,P.S. 234,Elementary School, 56.03 ,B,58.13,0.781,0.59,0.509,0.75,Well-Developed,"1,024",14.0,68.1
