,SCHOOL,SCHOOL LEVEL*, PEER INDEX* ,GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,PERFORMANCE CATEGORY SCORE,PROGRESS CATEGORY SCORE,ADDITIONAL CREDIT,QUALITY REVIEW SCORE,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch
252,PS 152 EVERGREEN,Elementary School, 78.18 ,A,74.75,0.519,0.395,0.838,9,Well-Developed,816,12.5,91.4
253,PS 182,Elementary School, 68.59 ,F,26.45,0.604,0.68,-0.055,0,Well-Developed,875,14.3,85.3
254,PS 304 EARLY CHILDHOOD SCHOOL,Elementary School, 51.47 ,B,57.55,0.644,0.632,0.513,0.75,Well-Developed,506,14.0,65.2
255,RENAISSANCE HIGH SCHOOL OF MUSICAL THEATER & TECHN,High School, 2.60 ,B,64.11,0.355,0.625,0.673,3,Proficient,449,16.3,71.3
256,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,Middle School, 2.98 ,B,57.45,0.486,0.644,0.52,2.25,Proficient,523,14.5,80.3
257,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,High School, 2.62 ,B,56.6,0.657,0.562,0.516,1.5,Proficient,574,14.0,87.3
258,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",Middle School, 3.39 ,F,28.33,0.523,0.267,0.227,0,Proficient,767,12.9,90.7
259,BRONX WRITING ACADEMY,Middle School, 2.84 ,A,67.59,0.514,0.677,0.624,5.25,Proficient,438,11.2,95.2
260,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327,Middle School, 3.17 ,A,100,0.719,0.821,1.025,8.25,Proficient,736,15.6,91.2
261,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOA,Middle School, 3.37 ,B,53.02,0.216,0.586,0.558,1.5,Proficient,431,14.3,83.8
262,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,Middle School, 3.22 ,B,60.24,0.608,0.629,0.559,1.5,Proficient,429,14.7,86.9
263,HIGH SCHOOL FOR VIOLIN AND DANCE,High School, 2.41 ,A,84.37,0.442,1.065,0.614,12,Proficient,262,14.5,96.6
264,I S 229 ROLAND PATTERSON,Middle School, 2.62 ,A,65.22,0.342,0.636,0.623,6.75,Proficient,246,9.1,92.7
265,I.S.117 JOSEPH H WADE,Middle School, 2.89 ,B,59.74,0.454,0.588,0.601,2.25,Undeveloped,516,12.0,94.6
266,IS 219 NEW VENTURE SCHOOL,Middle School, 2.75 ,B,63.69,0.408,0.594,0.614,6,Proficient,353,9.8,94.9
267,IS 232,Middle School, 2.83 ,C,45.44,0.064,0.476,0.522,1.5,Proficient,486,14.2,98.6
268,IS 303 LEADERSHIP & COMM. SER,Middle School, 3.12 ,A,65.29,0.626,0.596,0.623,3.75,Proficient,334,10.7,99.4
269,IS 313 SCHL OF LEADERSHIP DEV.,Middle School, 2.79 ,C,49.66,0.526,0.41,0.522,0.75,Undeveloped,317,10.9,91.2
270,IS 339 SCHOOL OF COMM. TECH.,Middle School, 2.76 ,C,46.95,0.263,0.457,0.478,3,Undeveloped,505,10.3,92.1
271,JHS 022 JORDAN L MOTT,Middle School, 2.78 ,A,65.92,0.498,0.547,0.682,4.5,Proficient,458,10.4,97.4
