,School Name,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch,DISTRICT
453,Ps 279 Capt Manuel Rivera Junior,"1,087",14.1,94.6%,10
454,Ps 209,259,11.7,94.6%,10
455,Ps 37 Multiple Intelligence School,647,15.0,86.1%,10
456,Ps 291,635,14.1,98.9%,10
457,Ps 306,695,14.1,89.2%,10
458,Ps 15 Institute For Environmental Learning,484,14.6,78.7%,10
459,Bronx High School Of Science (The),"2,997",22.3,45.6%,10
460,Dewitt Clinton High School,"1,228",13.9,88.7%,10
461,Milton Fein School,758,15.7,81.9%,10
462,Ps 8 Issac Varian,"1,005",13.2,87.1%,10
463,Ps 9 Ryer Avenue Elementary School,845,12.4,92.7%,10
464,Ps 24 Spuyten Duyvil,907,17.1,26.9%,10
465,Ps 32 Belmont,827,12.7,98.8%,10
466,Ps 33 Timothy Dwight,922,12.7,91%,10
467,Ps/Middle School 20 PO George J Werdan III,"1,069",15.2,94.9%,10
468,Thomas C Giordano Middle School 45,700,14.0,97.1%,10
469,Ps 46 Edgar Allan Poe,911,13.8,92%,10
470,Ps 310 Marble Hill,741,13.4,95.7%,10
471,Ps 56 Norwood Heights,710,14.4,85.6%,10
472,Junior High School 80 Mosholu Parkway (The),690,16.0,90.7%,10
473,Ps 81 Robert J Christen,725,14.4,47.9%,10
474,Ps 86 Kingsbridge Heights,"1,669",15.3,87.5%,10
475,Ps 94 Kings College School,"1,263",12.9,93%,10
476,Ps 95 Sheila Mencher,"1,289",17.0,81.5%,10
477,Junior High School 118 William W Niles,"1,174",14.1,89.8%,10
478,Riverdale/Kingsbridge Academy (Ms/High School 141),"1,516",16.4,52.1%,10
479,Ps 205 Fiorello Laguardia,"1,010",13.8,90%,10
480,Ps 315 Lab School,247,16.4,97.6%,10
481,Ps/Is 54,483,14.2,97.5%,10
482,Is 254,472,13.4,89.2%,10
483,Ps 340,656,12.8,88%,10
484,Ps 360,486,13.1,94.2%,10
485,Middle School 390,538,12.8,98.7%,10
